tmax,pay_rate,born_ai_mult,ratio,y0,y1,gap,verdict
30,0.000,0.000,0.000,48.375,59.522,-11.146,REFUTE
30,0.000,0.556,0.000,48.375,22.112,26.264,CONFIRM
30,0.000,1.111,0.000,48.375,1.871,46.505,CONFIRM
30,0.000,1.667,0.000,48.375,-11.126,59.502,CONFIRM
30,0.000,2.222,0.000,48.375,-20.481,68.857,CONFIRM
30,0.000,2.778,0.000,48.375,-27.608,75.984,CONFIRM
30,0.000,3.333,0.000,48.375,-33.305,81.681,CONFIRM
30,0.000,3.889,0.000,48.375,-37.914,86.290,CONFIRM
30,0.000,4.444,0.000,48.375,-41.752,90.127,CONFIRM
30,0.000,5.000,0.000,48.375,-45.131,93.507,CONFIRM
30,0.111,0.000,0.370,117.237,179.251,-62.014,REFUTE
30,0.111,0.556,0.238,117.237,137.542,-20.305,REFUTE
30,0.111,1.111,0.175,117.237,102.402,14.835,CONFIRM
30,0.111,1.667,0.139,117.237,77.374,39.863,CONFIRM
30,0.111,2.222,0.115,117.237,58.557,58.680,CONFIRM
30,0.111,2.778,0.098,117.237,43.834,73.403,CONFIRM
30,0.111,3.333,0.085,117.237,31.960,85.277,CONFIRM
30,0.111,3.889,0.076,117.237,22.152,95.085,CONFIRM
30,0.111,4.444,0.068,117.237,13.892,103.345,CONFIRM
30,0.111,5.000,0.062,117.237,6.824,110.412,CONFIRM
30,0.222,0.000,0.741,142.031,186.794,-44.763,REFUTE
30,0.222,0.556,0.476,142.031,181.850,-39.820,REFUTE
30,0.222,1.111,0.351,142.031,177.935,-35.904,REFUTE
30,0.222,1.667,0.278,142.031,152.949,-10.918,REFUTE
30,0.222,2.222,0.230,142.031,132.913,9.118,CONFIRM
30,0.222,2.778,0.196,142.031,116.635,25.396,CONFIRM
30,0.222,3.333,0.171,142.031,103.091,38.940,CONFIRM
30,0.222,3.889,0.152,142.031,91.606,50.425,CONFIRM
30,0.222,4.444,0.136,142.031,81.713,60.317,CONFIRM
30,0.222,5.000,0.123,142.031,73.081,68.950,CONFIRM
30,0.333,0.000,1.111,153.298,190.330,-37.032,REFUTE
30,0.333,0.556,0.714,153.298,186.362,-33.064,REFUTE
30,0.333,1.111,0.526,153.298,183.076,-29.778,REFUTE
30,0.333,1.667,0.417,153.298,180.308,-27.010,REFUTE
30,0.333,2.222,0.345,153.298,177.862,-24.564,REFUTE
30,0.333,2.778,0.294,153.298,161.201,-7.903,REFUTE
30,0.333,3.333,0.256,153.298,147.058,6.240,CONFIRM
30,0.333,3.889,0.227,153.298,134.862,18.436,CONFIRM
30,0.333,4.444,0.204,153.298,124.206,29.092,CONFIRM
30,0.333,5.000,0.185,153.298,114.794,38.504,CONFIRM
30,0.444,0.000,1.481,159.595,192.385,-32.790,REFUTE
30,0.444,0.556,0.952,159.595,189.059,-29.464,REFUTE
30,0.444,1.111,0.702,159.595,186.219,-26.623,REFUTE
30,0.444,1.667,0.556,159.595,183.758,-24.163,REFUTE
30,0.444,2.222,0.460,159.595,181.602,-22.007,REFUTE
30,0.444,2.778,0.392,159.595,179.697,-20.101,REFUTE
30,0.444,3.333,0.342,159.595,177.996,-18.401,REFUTE
30,0.444,3.889,0.303,159.595,165.784,-6.189,REFUTE
30,0.444,4.444,0.272,159.595,154.823,4.773,CONFIRM
30,0.444,5.000,0.247,159.595,145.052,14.543,CONFIRM
30,0.556,0.000,1.852,163.611,193.725,-30.114,REFUTE
30,0.556,0.556,1.190,163.611,190.878,-27.267,REFUTE
30,0.556,1.111,0.877,163.611,188.374,-24.764,REFUTE
30,0.556,1.667,0.694,163.611,186.159,-22.548,REFUTE
30,0.556,2.222,0.575,163.611,184.190,-20.580,REFUTE
30,0.556,2.778,0.490,163.611,182.415,-18.805,REFUTE
30,0.556,3.333,0.427,163.611,180.825,-17.214,REFUTE
30,0.556,3.889,0.379,163.611,179.376,-15.766,REFUTE
30,0.556,4.444,0.340,163.611,178.052,-14.441,REFUTE
30,0.556,5.000,0.309,163.611,168.646,-5.035,REFUTE
30,0.667,0.000,2.222,166.396,194.670,-28.274,REFUTE
30,0.667,0.556,1.429,166.396,192.180,-25.784,REFUTE
30,0.667,1.111,1.053,166.396,189.947,-23.551,REFUTE
30,0.667,1.667,0.833,166.396,187.948,-21.551,REFUTE
30,0.667,2.222,0.690,166.396,186.132,-19.736,REFUTE
30,0.667,2.778,0.588,166.396,184.490,-18.094,REFUTE
30,0.667,3.333,0.513,166.396,182.985,-16.588,REFUTE
30,0.667,3.889,0.455,166.396,181.612,-15.216,REFUTE
30,0.667,4.444,0.408,166.396,180.342,-13.945,REFUTE
30,0.667,5.000,0.370,166.396,179.179,-12.783,REFUTE
30,0.778,0.000,2.593,168.444,195.373,-26.929,REFUTE
30,0.778,0.556,1.667,168.444,193.158,-24.715,REFUTE
30,0.778,1.111,1.228,168.444,191.153,-22.710,REFUTE
30,0.778,1.667,0.972,168.444,189.321,-20.877,REFUTE
30,0.778,2.222,0.805,168.444,187.657,-19.214,REFUTE
30,0.778,2.778,0.686,168.444,186.120,-17.676,REFUTE
30,0.778,3.333,0.598,168.444,184.711,-16.268,REFUTE
30,0.778,3.889,0.530,168.444,183.406,-14.962,REFUTE
30,0.778,4.444,0.476,168.444,182.194,-13.750,REFUTE
30,0.778,5.000,0.432,168.444,181.071,-12.627,REFUTE
30,0.889,0.000,2.963,170.012,195.913,-25.900,REFUTE
30,0.889,0.556,1.905,170.012,193.920,-23.907,REFUTE
30,0.889,1.111,1.404,170.012,192.100,-22.088,REFUTE
30,0.889,1.667,1.111,170.012,190.422,-20.410,REFUTE
30,0.889,2.222,0.920,170.012,188.875,-18.863,REFUTE
30,0.889,2.778,0.784,170.012,187.448,-17.435,REFUTE
30,0.889,3.333,0.684,170.012,186.114,-16.102,REFUTE
30,0.889,3.889,0.606,170.012,184.881,-14.869,REFUTE
30,0.889,4.444,0.544,170.012,183.728,-13.716,REFUTE
30,0.889,5.000,0.494,170.012,182.642,-12.630,REFUTE
30,1.000,0.000,3.333,171.253,196.341,-25.087,REFUTE
30,1.000,0.556,2.143,171.253,194.529,-23.276,REFUTE
30,1.000,1.111,1.579,171.253,192.864,-21.611,REFUTE
30,1.000,1.667,1.250,171.253,191.318,-20.064,REFUTE
30,1.000,2.222,1.034,171.253,189.875,-18.622,REFUTE
30,1.000,2.778,0.882,171.253,188.539,-17.285,REFUTE
30,1.000,3.333,0.769,171.253,187.289,-16.035,REFUTE
30,1.000,3.889,0.682,171.253,186.112,-14.858,REFUTE
30,1.000,4.444,0.612,171.253,185.015,-13.761,REFUTE
30,1.000,5.000,0.556,171.253,183.984,-12.730,REFUTE
